ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES,NET_SALES_LOG,STATE_FREQ,PROFIT_CLIPPED
2019-01-03,2019-01-07,STANDARD CLASS,DP-13000,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",5.5512,26.3168,3.307501897534832,0.09722499500898382,5.5512
2019-01-04,2019-01-08,STANDARD CLASS,PO-19195,HOME OFFICE,USA,NAPERVILLE,IL,CENTRAL,OFF-LA-10003223,OFFICE SUPPLIES,LABELS,AVERY 508,4.2717,28.281600000000005,3.376959332408881,0.05510081852665202,4.2717
2019-01-05,2019-01-12,STANDARD CLASS,MB-18085,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-AR-10003478,OFFICE SUPPLIES,ART,"AVERY HI-LITER EVERBOLD PEN STYLE FLUORESCENT HIGHLIGHTERS, 4/PACK",4.884,46.88640000000001,3.8688315392591566,0.057496506288680374,4.884
2019-01-06,2019-01-10,STANDARD CLASS,ME-17320,HOME OFFICE,USA,HENDERSON,KY,SOUTH,OFF-AR-10001662,OFFICE SUPPLIES,ART,ROGERS HANDHELD BARREL PENCIL SHARPENER,1.4796,10.96,2.481567748522486,0.01217807945697744,1.4796
2019-01-06,2019-01-07,FIRST CLASS,JO-15145,CORPORATE,USA,ATHENS,GA,SOUTH,OFF-AR-10002399,OFFICE SUPPLIES,ART,"DIXON PRANG WATERCOLOR PENCILS, 10-COLOR SET WITH BRUSH",5.2398,38.339999999999996,3.672241812960913,0.018167298862048313,5.2398
2019-01-06,2019-01-08,SECOND CLASS,LS-17230,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002005,OFFICE SUPPLIES,PAPER,XEROX 225,9.3312,58.32000000000001,4.082946517269732,0.20383310041924535,9.3312
2019-01-07,2019-01-12,STANDARD CLASS,VS-21820,CONSUMER,USA,HUNTSVILLE,TX,CENTRAL,FUR-FU-10004864,FURNITURE,FURNISHINGS,"HOWARD MILLER 14-1/2"" DIAMETER CHROME ROUND WALL CLOCK",-53.7096,92.0736,4.533390578012562,0.09722499500898382,-53.7096
2019-01-09,2019-01-13,STANDARD CLASS,MS-17830,CONSUMER,USA,LAREDO,TX,CENTRAL,OFF-AR-10004078,OFFICE SUPPLIES,ART,NEWELL 312,1.168,14.9504,2.7694839072863027,0.09722499500898382,1.168
2019-01-10,2019-01-15,STANDARD CLASS,AJ-10780,CORPORATE,USA,SPRINGFIELD,VA,SOUTH,FUR-FU-10000965,FURNITURE,FURNISHINGS,"HOWARD MILLER 11-1/2"" DIAMETER RIDGEWOOD WALL CLOCK",21.2954,51.94,3.9691591967989552,0.02295867438610501,21.2954
2019-01-11,2019-01-14,FIRST CLASS,SV-20365,CONSUMER,USA,DOVER,DE,EAST,FUR-FU-10000010,FURNITURE,FURNISHINGS,"DAX VALUE U-CHANNEL DOCUMENT FRAMES, EASEL BACK",3.0814,19.88,3.038791763014438,0.008784188460770613,3.0814
